case:concept:name,concept:name,start_timestamp,time:timestamp
1,transport_to_track_1,start,21:05:34
1,transport_to_track_1,end,21:05:39
1,transport_to_cell_1,start,21:05:39
1,transport_to_cell_1,end,21:05:39
1,operation_on_cell_1,start,21:05:39
1,operation_on_cell_1,end,21:05:39
1,transport_to_cell_2,start,21:05:39
1,transport_to_cell_2,end,21:05:49
1,operation_on_cell_2,start,21:05:49
1,operation_on_cell_2,end,21:05:54
1,transport_to_track_2,start,21:05:54
1,transport_to_track_2,end,21:05:59
2,transport_to_track_1,start,21:05:59
2,transport_to_track_1,end,21:06:04
2,transport_to_cell_1,start,21:06:04
2,transport_to_cell_1,end,21:06:09
2,operation_on_cell_1,start,21:06:09
2,operation_on_cell_1,end,21:06:24
2,transport_to_cell_2,start,21:06:24
2,transport_to_cell_2,end,21:06:24
2,operation_on_cell_2,start,21:06:24
2,operation_on_cell_2,end,21:06:29
2,transport_to_track_2,start,21:06:29
2,transport_to_track_2,end,21:06:29
3,transport_to_track_1,start,21:06:29
3,transport_to_track_1,end,21:06:29
3,transport_to_cell_1,start,21:06:29
3,transport_to_cell_1,end,21:06:34
3,operation_on_cell_1,start,21:06:34
3,operation_on_cell_1,end,21:06:34
3,transport_to_cell_2,start,21:06:34
3,transport_to_cell_2,end,21:06:34
3,operation_on_cell_2,start,21:06:34
3,operation_on_cell_2,end,21:06:34
3,transport_to_track_2,start,21:06:34
3,transport_to_track_2,end,21:06:44
4,transport_to_track_1,start,21:06:44
4,transport_to_track_1,end,21:06:44
4,transport_to_cell_1,start,21:06:44
4,transport_to_cell_1,end,21:06:54
4,operation_on_cell_1,start,21:06:54
4,operation_on_cell_1,end,21:06:59
4,transport_to_cell_2,start,21:06:59
4,transport_to_cell_2,end,21:06:59
4,operation_on_cell_2,start,21:06:59
4,operation_on_cell_2,end,21:07:04
4,transport_to_track_2,start,21:07:04
4,transport_to_track_2,end,21:07:04
5,transport_to_track_1,start,21:07:04
5,transport_to_track_1,end,21:07:04
5,transport_to_cell_1,start,21:07:04
